name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
interactive-discover-1;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;15;15;15;0;5;0;0;0;146.4;324;88;324 88 92 107 121;;;;;89.56472519915417;"[[],[],[],[],[]]"
interactive-discover-1;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;13;13;13;0;5;0;0;0;103.2;135;82;135 82 83 118 98;;;;;20.565991344936425;"[[],[],[],[],[]]"
interactive-discover-1;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;12;12;12;0;5;0;0;0;86.8;104;73;104 73 82 85 90;;;;;10.225458424931373;"[[],[],[],[],[]]"
interactive-discover-1;3;false;;0;6c0a9fe8be642ee232c10c9996912b97;220;220;220;0;5;14;14;14;1002;1182;904;1182 988 969 967 904;143.6 989.4 990.2 990.2 990.4 992.2 993.4 993.4 993.4 996 997.6 997.6 998.2 999.2;181 1158 1162 1162 1162 1162 1167 1167 1167 1167 1174 1174 1175 1175;99 897 897 897 897 899 899 899 899 901 902 902 902 903;29.897157055479372 88.37556223300648 89.90305890235327 89.90305890235327 89.86790305776584 89.06941113536116 90.90786544628578 90.90786544628578 90.90786544628578 89.91106717195609 92.37012504051296 92.37012504051296 92.65074203696373 92.19631229067679;94.35465012388102;"[[138,1158,1162,1162,1162,1162,1167,1167,1167,1167,1174,1174,1175,1175],[181,974,974,974,975,978,978,978,978,983,983,983,984,985],[172,958,958,958,958,961,961,961,961,965,965,965,966,967],[128,960,960,960,960,961,962,962,962,964,964,964,964,966],[99,897,897,897,897,899,899,899,899,901,902,902,902,903]]"
interactive-discover-1;4;false;;0;7536d3a2c1abc2a9ac92b1860efa3282;458;458;458;0;5;8;8;8;2101.6;2219;2030;2219 2147 2037 2030 2075;1993.4 2001 2005.4 2040.6 2061 2067.8 2095 2096.8;2118 2123 2129 2168 2195 2201 2218 2219;1914 1920 1924 1960 1988 1995 2006 2010;71.44676339765154 70.04284403134984 70.63596817486116 72.69552943613522 76.46960180359252 75.73215961531797 76.73069789855948 76.16665937272029;71.9043809513718;"[[2118,2123,2129,2168,2195,2201,2218,2219],[2014,2022,2026,2064,2088,2095,2143,2145],[1914,1920,1924,1960,1988,1995,2035,2036],[1937,1951,1956,1987,1991,2001,2006,2010],[1984,1989,1992,2024,2043,2047,2073,2074]]"
interactive-discover-2;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;15;15;15;0;5;0;0;0;118.8;145;82;108 82 145 120 139;;;;;22.657449106199046;"[[],[],[],[],[]]"
interactive-discover-2;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;13;13;13;0;5;0;0;0;102.6;116;92;116 108 92 103 94;;;;;8.890444308357148;"[[],[],[],[],[]]"
interactive-discover-2;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;12;12;12;0;5;0;0;0;96.6;115;83;115 83 89 96 100;;;;;10.892199043352083;"[[],[],[],[],[]]"
interactive-discover-2;3;false;;0;23320e2cdf40e8165aa7fdff74171184;220;220;220;0;5;198;198;198;1340.4;1530;1168;1168 1222 1363 1419 1530;252.2 415.2 415.8 416.2 416.4 416.8 417.2 417.2 417.4 417.4 417.8 418.2 418.8 418.8 1236.8 1237.8 1239 1239.8 1240.6 1241.2 1241.6 1242 1242 1242.2 1242.2 1242.2 1242.8 1243.2 1243.2 1243.2 1243.6 1244 1244.2 1246 1246.6 1249.4 1252 1253.4 1254 1255.4 1255.8 1255.8 1256.2 1256.2 1256.4 1256.4 1256.6 1256.6 1257.2 1257.2 1257.2 1257.2 1257.2 1257.2 1257.2 1257.2 1257.4 1257.8 1257.8 1257.8 1257.8 1257.8 1257.8 1258.2 1258.2 1258.2 1259.4 1261.2 1262.2 1263 1265.8 1266.6 1267.6 1268.8 1269.6 1270.2 1272 1272.2 1279.8 1285.2 1286 1286.8 1292.6 1298.8 1299.4 1300 1303 1303 1303.2 1303.4 1303.6 1303.6 1303.6 1303.6 1303.6 1304.2 1304.2 1304.2 1305.8 1306 1307.2 1307.4 1307.6 1308 1309.6 1309.8 1310.2 1310.8 1311 1312.2 1312.6 1314.2 1314.6 1315.2 1315.4 1315.6 1315.8 1316 1316 1316 1316 1316.2 1316.4 1316.4 1316.4 1316.4 1316.4 1316.4 1316.6 1317.2 1317.2 1317.6 1317.8 1319 1319.4 1319.8 1321.2 1321.4 1321.4 1321.6 1321.6 1321.8 1323 1323 1323.2 1323.2 1323.2 1324.4 1326.8 1328 1330 1332.8 1333.2 1333.4 1333.6 1334.2 1334.2 1334.4 1334.4 1334.4 1334.4 1334.4 1334.4 1334.6 1334.6 1334.6 1335 1335 1335 1335 1335 1335 1335.4 1335.6 1335.8 1335.8 1335.8 1336.6 1336.8 1337.2 1337.2 1337.2 1337.2 1337.2 1337.2 1337.6 1337.8 1338.4 1339.2 1340 1340.4 1340.4 1340.4 1340.4 1340.4 1340.4 1340.4 1340.4;507 521 521 521 521 522 522 522 522 522 522 522 522 522 1415 1416 1416 1417 1417 1418 1418 1419 1419 1419 1419 1419 1419 1419 1419 1419 1421 1423 1424 1426 1428 1429 1433 1434 1434 1435 1435 1435 1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 1436 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1439 1443 1444 1445 1451 1454 1455 1455 1456 1456 1457 1457 1457 1457 1457 1457 1457 1457 1457 1457 1457 1457 1457 1457 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1458 1460 1460 1465 1467 1475 1477 1479 1480 1480 1481 1481 1481 1481 1481 1481 1482 1482 1482 1482 1482 1482 1482 1482 1482 1482 1483 1483 1483 1483 1483 1483 1483 1483 1483 1483 1486 1486 1486 1486 1486 1486 1496 1499 1502 1516 1517 1517 1518 1519 1519 1519 1519 1519 1519 1519 1519 1520 1520 1520 1520 1520 1520 1520 1520 1520 1520 1520 1521 1521 1521 1521 1521 1521 1521 1521 1521 1521 1521 1523 1523 1526 1526 1530 1530 1530 1530 1530 1530 1530 1530 1530;160 296 297 298 298 299 299 299 299 299 299 300 300 300 1052 1053 1055 1055 1056 1056 1056 1057 1057 1057 1057 1057 1059 1059 1059 1059 1059 1059 1059 1066 1067 1072 1081 1082 1083 1083 1084 1084 1084 1084 1084 1084 1084 1084 1086 1086 1086 1086 1086 1086 1086 1086 1086 1088 1088 1088 1088 1088 1088 1088 1088 1088 1092 1097 1099 1102 1110 1110 1112 1113 1113 1114 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1115 1118 1118 1118 1124 1124 1125 1125 1126 1127 1134 1134 1135 1135 1136 1137 1137 1137 1137 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1138 1139 1139 1139 1139 1139 1139 1139 1139 1139 1139 1139 1139 1139 1139 1142 1142 1142 1142 1142 1148 1150 1153 1159 1159 1160 1161 1161 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1162 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1163 1166 1166 1168 1168 1168 1168 1168 1168 1168 1168;130.30947778270007 98.55637980364335 98.2698326039075 97.7944783717363 97.98489679537353 97.95795016230178 98.34103924608485 98.34103924608485 98.41056853814025 98.41056853814025 98.36950747055717 98.19857432773655 98.7833994150839 98.7833994150839 135.2381602950883 135.0279970968984 134.31455617318625 134.3821416706848 134.11875334941047 134.2406793784954 134.2216077984465 134.20879255846094 134.20879255846094 134.03641296304522 134.03641296304522 134.03641296304522 133.63891648767586 133.70175765486405 133.70175765486405 133.70175765486405 134.22905795691184 134.75904422338414 135.0250347157889 133.65777194013074 133.92923504597493 133.11438690089062 131.83626208293376 132.02363424781186 131.84081310428877 132.37008725539167 132.1565738054676 132.1565738054676 132.47550717019354 132.47550717019354 132.52411101380758 132.52411101380758 132.32928625213694 132.32928625213694 131.94453380113933 131.94453380113933 131.94453380113933 131.94453380113933 131.94453380113933 131.94453380113933 131.94453380113933 131.94453380113933 132.21588406844316 131.69874714666045 131.69874714666045 131.69874714666045 131.69874714666045 131.69874714666045 131.69874714666045 131.7959028194731 131.7959028194731 131.7959028194731 131.31427949769972 131.15243040066014 130.52417400619703 130.05691061992823 129.8020030662085 130.78470858628697 130.66996594474188 130.64057562641096 131.06425904875823 130.9234891071881 131.34534632030173 131.40380511994314 123.8408656300496 119.55149518094703 119.14361082324137 118.7457788723456 118.45775618337535 122.71495426393639 123.18538874395779 123.66567834286117 126.21093455006186 126.21093455006186 126.07045649159838 126.08822308209439 126.3322603296561 126.3322603296561 126.3322603296561 126.3322603296561 126.3322603296561 125.43906887409521 125.43906887409521 125.43906887409521 123.70189974288996 123.72065308589346 123.36514904947832 123.38978888060389 123.0944352925834 122.82507887235408 120.80165561779359 120.82781136807866 120.56433966973816 121.08410300283023 120.79403958805253 121.74957905471378 122.25317991774284 124.29867255928359 124.81762696029757 125.05582753314617 125.31815510930569 125.3389005855724 125.60159234659407 125.76008905849264 125.76008905849264 125.76008905849264 125.76008905849264 125.60159234659407 125.86437144799955 125.86437144799955 125.86437144799955 125.86437144799955 125.86437144799955 125.86437144799955 125.58120878539115 125.64616985805816 125.64616985805816 125.8278188637155 126.08949202847951 126.25688100060131 126.32276121111349 126.39367072761199 126.68133248430883 126.72742402495207 126.72742402495207 126.77476089506145 126.77476089506145 126.82334170017758 126.72963347220728 126.72963347220728 126.56286975254629 126.56286975254629 126.56286975254629 124.85607714484705 126.92265361234769 126.89523237694945 126.1063043626289 129.98984575727445 130.0052306640006 129.73912285814177 130.0224595983325 130.16973534581686 130.16973534581686 129.99169204222247 129.99169204222247 129.99169204222247 129.99169204222247 129.99169204222247 129.99169204222247 130.27601467653207 130.27601467653207 130.27601467653207 129.9230541512937 129.9230541512937 129.9230541512937 129.9230541512937 129.9230541512937 129.9230541512937 129.9839990152634 129.71753929210962 130.00215382831163 130.00215382831163 130.00215382831163 130.1362363064185 130.17280822045745 130.24960652531738 130.24960652531738 130.24960652531738 130.24960652531738 130.24960652531738 130.24960652531738 130.81528962625126 130.93876431370504 131.79013620146236 130.8149838512393 131.96211577570284 131.43606810917618 131.43606810917618 131.43606810917618 131.43606810917618 131.43606810917618 131.43606810917618 131.43606810917618 131.43606810917618;131.43606810917618;"[[186,296,297,298,298,299,299,299,299,299,299,300,300,300,1052,1053,1055,1055,1056,1056,1056,1057,1057,1057,1057,1057,1059,1059,1059,1059,1059,1059,1059,1066,1067,1072,1081,1082,1083,1083,1084,1084,1084,1084,1084,1084,1084,1084,1086,1086,1086,1086,1086,1086,1086,1086,1086,1088,1088,1088,1088,1088,1088,1088,1088,1088,1092,1097,1099,1102,1110,1110,1112,1113,1113,1114,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1118,1118,1118,1124,1124,1125,1125,1126,1127,1134,1134,1135,1135,1136,1137,1137,1137,1137,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1142,1142,1142,1142,1142,1148,1150,1153,1159,1159,1160,1161,1161,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1162,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1163,1166,1166,1168,1168,1168,1168,1168,1168,1168,1168],[169,300,301,302,302,302,302,302,302,302,303,303,303,303,1117,1119,1121,1123,1124,1125,1126,1126,1126,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1168,1194,1197,1200,1214,1214,1214,1214,1214,1214,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1217,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1219,1219,1219,1219,1219,1219,1219,1219,1219,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222],[507,508,509,509,510,510,512,512,512,512,513,513,516,516,1260,1260,1261,1261,1262,1263,1263,1263,1263,1263,1263,1263,1263,1265,1265,1265,1265,1265,1265,1265,1265,1273,1273,1278,1280,1286,1287,1287,1288,1288,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289,1291,1291,1291,1291,1291,1291,1291,1291,1291,1293,1298,1301,1303,1310,1311,1311,1312,1313,1314,1314,1314,1314,1314,1314,1314,1314,1315,1315,1315,1315,1315,1315,1315,1315,1315,1317,1318,1322,1323,1323,1324,1325,1326,1327,1328,1328,1328,1328,1328,1328,1328,1328,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1329,1332,1332,1333,1333,1339,1341,1343,1350,1351,1351,1352,1352,1353,1353,1353,1353,1353,1353,1353,1353,1353,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1356,1356,1356,1356,1356,1360,1361,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363],[160,451,451,451,451,451,451,451,452,452,452,453,453,453,1340,1341,1342,1343,1344,1344,1345,1345,1345,1345,1345,1345,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1347,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1348,1363,1394,1397,1400,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1415,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1416,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419],[239,521,521,521,521,522,522,522,522,522,522,522,522,522,1415,1416,1416,1417,1417,1418,1418,1419,1419,1419,1419,1419,1419,1419,1419,1419,1421,1423,1424,1426,1428,1429,1433,1434,1434,1435,1435,1435,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1436,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1439,1443,1444,1445,1451,1454,1455,1455,1456,1456,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1457,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458,1460,1460,1465,1467,1475,1477,1479,1480,1480,1481,1481,1481,1481,1481,1481,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1483,1483,1483,1483,1483,1483,1483,1483,1483,1483,1486,1486,1486,1486,1486,1486,1496,1499,1502,1516,1517,1517,1518,1519,1519,1519,1519,1519,1519,1519,1519,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1521,1523,1523,1526,1526,1530,1530,1530,1530,1530,1530,1530,1530,1530]]"
interactive-discover-2;4;false;;0;a7ea80830c1f3358609f53e0ce62fd9a;458;458;458;0;5;98;98;98;2780;2914;2486;2486 2914 2858 2772 2870;935.2 939.8 942 943.6 944.8 945.8 946.2 947.2 947.2 947.4 947.4 947.4 947.4 948 948 948 948 948 948 948 949.6 952 954.8 955.8 957.8 960.4 961.4 961.8 962.2 962.4 962.4 962.6 962.8 962.8 962.8 962.8 962.8 962.8 962.8 963 963.2 963.6 963.6 964 964 964 964 964 964.4 964.4 964.4 964.4 964.4 964.4 964.4 964.8 965 965.4 965.4 965.6 965.6 969.4 970.4 970.8 971.2 973.8 974.2 974.2 975 981 981.8 982.6 983.4 985 985.4 985.4 985.4 985.6 985.6 985.6 985.6 985.8 986 986 986 986 987.4 988.4 989.4 990.6 2697 2700.4 2703.4 2724.4 2737 2741.8 2773.8 2777.6;1036 1045 1046 1048 1049 1050 1051 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1053 1054 1054 1054 1054 1054 1054 1054 1054 1054 1054 1054 1054 1055 1055 1055 1055 1055 1055 1055 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1056 1060 1060 1060 1060 1069 1071 1072 1073 1075 1075 1075 1075 1075 1075 1075 1075 1075 1075 1075 1075 1075 1079 1080 1081 1083 2856 2861 2865 2871 2880 2886 2914 2914;857 859 861 863 866 867 867 868 868 869 869 869 869 870 870 870 870 870 870 870 874 886 890 893 900 908 908 909 910 910 910 910 911 911 911 911 911 911 911 911 911 911 911 912 912 912 912 912 913 913 913 913 913 913 913 915 915 915 915 915 915 926 929 930 931 934 935 935 935 935 935 935 935 935 935 935 935 936 936 936 936 936 936 936 936 936 936 937 938 939 2368 2369 2370 2412 2429 2430 2470 2477;65.35258219841049 67.93644088410872 67.08502068271277 67.14938570083869 66.85626373048378 66.85626373048378 67.28268722338608 67.48155303488502 67.48155303488502 67.24760218773604 67.24760218773604 67.24760218773604 67.24760218773604 66.9417657370942 66.9417657370942 66.9417657370942 66.9417657370942 66.9417657370942 66.9417657370942 66.9417657370942 65.2766420704987 62.619485785177126 60.011332263165095 58.9962710686023 56.978592471207996 54.73792104199793 53.809292877717695 53.43182572212932 53.056196622072335 53.39887639267329 53.39887639267329 53.22255161113567 53.02603134310543 53.02603134310543 53.02603134310543 53.02603134310543 53.02603134310543 53.02603134310543 53.02603134310543 52.8507332021042 52.677889099697225 52.95885195130273 52.95885195130273 52.8507332021042 52.8507332021042 52.8507332021042 52.8507332021042 52.8507332021042 53.00037735714719 53.00037735714719 53.00037735714719 53.00037735714719 53.00037735714719 53.00037735714719 53.00037735714719 52.61710748416336 52.706735812417755 52.35494246009635 52.35494246009635 52.28613582968242 52.28613582968242 48.865529773041445 48.00249993489923 47.662983540689105 47.32610273411492 47.47799490290212 47.148276744754945 47.148276744754945 47.42573141238836 50.79763774035167 51.5030096207979 51.9599846035389 52.423658781126676 53.37040378337043 53.113463453252606 53.113463453252606 53.113463453252606 52.92485238524525 52.92485238524525 52.92485238524525 52.92485238524525 52.742392816405285 52.8507332021042 52.8507332021042 52.8507332021042 52.8507332021042 53.987405938792804 53.987405938792804 53.987405938792804 54.32715711317867 173.19815241508783 174.63516255324987 175.7368487255874 163.29188589761586 160.6810505317911 162.7370885815523 158.8337495622388 157.2852186316311;154.03895611175764;"[[877,877,882,883,883,884,884,885,885,885,885,885,885,886,886,886,886,886,886,886,890,890,899,901,904,908,913,914,915,915,915,916,916,916,916,916,916,916,916,917,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,918,920,920,920,920,928,929,930,931,934,935,935,935,935,935,935,935,935,935,935,935,936,936,936,936,936,936,936,936,936,936,937,938,939,2368,2369,2370,2412,2429,2430,2470,2477],[1036,1045,1046,1048,1049,1050,1051,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1053,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1055,1055,1055,1055,1055,1055,1055,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1060,1060,1060,1060,1069,1071,1072,1073,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1079,1080,1081,1083,2856,2861,2865,2871,2880,2886,2914,2914],[857,859,861,863,866,867,867,868,868,869,869,869,869,870,870,870,870,870,870,870,874,886,890,893,900,908,908,909,910,910,910,910,911,911,911,911,911,911,911,911,911,911,911,912,912,912,912,912,913,913,913,913,913,913,913,915,915,915,915,915,915,926,930,931,932,935,936,936,936,936,936,936,936,936,937,937,937,937,937,937,937,938,938,938,938,938,938,939,940,941,2716,2717,2719,2764,2784,2788,2844,2856],[976,979,981,982,983,984,985,985,985,985,985,985,985,986,986,986,986,986,986,986,986,986,986,986,986,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,987,988,988,988,988,988,988,988,988,988,988,988,988,988,989,989,989,989,989,989,989,989,989,989,989,989,993,1005,1006,1008,1010,1014,1014,1014,1014,1014,1014,1014,1014,1014,1015,1015,1015,1015,1015,1016,1017,1018,2724,2729,2733,2739,2748,2753,2771,2771],[930,939,940,942,943,944,944,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,946,946,946,946,946,946,946,946,946,946,946,946,946,946,946,946,946,946,946,947,947,947,947,947,947,947,947,947,947,947,947,947,947,947,947,947,947,948,948,948,948,948,948,951,951,951,951,960,961,962,963,965,966,966,966,966,966,966,966,966,966,966,966,966,969,970,971,972,2821,2826,2830,2836,2844,2852,2870,2870]]"
interactive-discover-3;0;false;;0;d41d8cd98f00b204e9800998ecf8427e;15;15;15;0;5;0;0;0;114;132;100;132 106 127 105 100;;;;;12.915107432770352;"[[],[],[],[],[]]"
interactive-discover-3;1;false;;0;d41d8cd98f00b204e9800998ecf8427e;13;13;13;0;5;0;0;0;96.4;116;73;116 111 73 88 94;;;;;15.628179676469042;"[[],[],[],[],[]]"
interactive-discover-3;2;false;;0;d41d8cd98f00b204e9800998ecf8427e;12;12;12;0;5;0;0;0;78.2;87;67;83 73 81 87 67;;;;;7.222188034107115;"[[],[],[],[],[]]"
